,xdot0,xdot1,xdot2,xdot3
114,8.504321884688895,8.504321884688895,8.504321884688895,8.504321884688895
115,8.529043339164714,8.529043339164714,8.529043339164714,8.529043339164714
116,8.553356182786938,8.553356182786938,8.553356182786938,8.553356182786938
117,8.577267169317967,8.577267169317967,8.577267169317967,8.577267169317967
118,8.60078294089001,8.60078294089001,8.60078294089001,8.60078294089001
119,8.623910029850178,8.623910029850178,8.623910029850178,8.623910029850178
120,8.64665486057508,8.64665486057508,8.64665486057508,8.64665486057508
121,8.669023751255414,8.669023751255414,8.669023751255414,8.669023751255414
122,8.691022915651086,8.691022915651086,8.691022915651086,8.691022915651086
123,8.712658464817286,8.712658464817286,8.712658464817286,8.712658464817286
124,8.733936408802066,8.733936408802066,8.733936408802066,8.733936408802066
125,8.75486265831584,8.75486265831584,8.75486265831584,8.75486265831584
126,8.7754430263733,8.7754430263733,8.7754430263733,8.7754430263733
127,8.795683229908178,8.795683229908178,8.795683229908178,8.795683229908178
128,8.815588891361344,8.815588891361344,8.815588891361344,8.815588891361344
129,8.83516554024263,8.83516554024263,8.83516554024263,8.83516554024263
130,8.854418614666848,8.854418614666848,8.854418614666848,8.854418614666848
131,8.87335346286443,8.87335346286443,8.87335346286443,8.87335346286443
132,8.891975344667083,8.891975344667083,8.891975344667083,8.891975344667083
133,8.910289432968899,8.910289432968899,8.910289432968899,8.910289432968899
134,8.928300815163308,8.928300815163308,8.928300815163308,8.928300815163308
135,8.946014494556286,8.946014494556286,8.946014494556286,8.946014494556286
136,8.963435391756205,8.963435391756205,8.963435391756205,8.963435391756205
137,8.980568346040702,8.980568346040702,8.980568346040702,8.980568346040702
138,8.997418116700965,8.997418116700965,8.997418116700965,8.997418116700965
139,9.013989384363798,9.013989384363798,9.013989384363798,9.013989384363798
140,9.030286752291829,9.030286752291829,9.030286752291829,9.030286752291829
141,9.046314747662231,9.046314747662231,9.046314747662231,9.046314747662231
142,9.062077822824314,9.062077822824314,9.062077822824314,9.062077822824314
143,9.077580356536314,9.077580356536314,9.077580356536314,9.077580356536314
144,9.092826655181762,9.092826655181762,9.092826655181762,9.092826655181762
145,9.107820953965721,9.107820953965721,9.107820953965721,9.107820953965721
146,9.122567418091279,9.122567418091279,9.122567418091279,9.122567418091279
147,9.13707014391658,9.13707014391658,9.13707014391658,9.13707014391658
148,9.151333160092728,9.151333160092728,9.151333160092728,9.151333160092728
149,9.165360428682897,9.165360428682897,9.165360428682897,9.165360428682897
150,9.179155846262931,9.179155846262931,9.179155846262931,9.179155846262931
151,9.192723245003759,9.192723245003759,9.192723245003759,9.192723245003759
152,9.206066393735917,9.206066393735917,9.206066393735917,9.206066393735917
153,9.219188998996474,9.219188998996474,9.219188998996474,9.219188998996474
154,9.232094706058662,9.232094706058662,9.232094706058662,9.232094706058662
155,9.244787099944471,9.244787099944471,9.244787099944471,9.244787099944471
156,9.257269706420526,9.257269706420526,9.257269706420526,9.257269706420526
157,9.269545992977491,9.269545992977491,9.269545992977491,9.269545992977491
158,9.281619369793287,9.281619369793287,9.281619369793287,9.281619369793287
159,9.293493190680392,9.293493190680392,9.293493190680392,9.293493190680392
160,9.305170754017487,9.305170754017487,9.305170754017487,9.305170754017487
161,9.316655303665694,9.316655303665694,9.316655303665694,9.316655303665694
162,9.327950029869674,9.327950029869674,9.327950029869674,9.327950029869674
163,9.339058070143833,9.339058070143833,9.339058070143833,9.339058070143833
164,9.349982510143882,9.349982510143882,9.349982510143882,9.349982510143882
165,9.36072638452398,9.36072638452398,9.36072638452398,9.36072638452398
166,9.37129267777973,9.37129267777973,9.37129267777973,9.37129267777973
167,9.381684325077218,9.381684325077218,9.381684325077218,9.381684325077218
168,9.391904213068367,9.391904213068367,9.391904213068367,9.391904213068367
169,9.401955180692802,9.401955180692802,9.401955180692802,9.401955180692802
170,9.411840019966478,9.411840019966478,9.411840019966478,9.411840019966478
171,9.42156147675725,9.42156147675725,9.42156147675725,9.42156147675725
172,9.431122251547642,9.431122251547642,9.431122251547642,9.431122251547642
173,9.440525000185003,9.440525000185003,9.440525000185003,9.440525000185003
174,9.449772334619265,9.449772334619265,9.449772334619265,9.449772334619265
175,9.4588668236285,9.4588668236285,9.4588668236285,9.4588668236285
176,9.467810993532492,9.467810993532492,9.467810993532492,9.467810993532492
177,9.476607328894518,9.476607328894518,9.476607328894518,9.476607328894518
178,9.48525827321152,9.48525827321152,9.48525827321152,9.48525827321152
179,9.49376622959287,9.49376622959287,9.49376622959287,9.49376622959287
180,9.502133561427929,9.502133561427929,9.502133561427929,9.502133561427929
181,9.510362593042554,9.510362593042554,9.510362593042554,9.510362593042554
182,9.51845561034477,9.51845561034477,9.51845561034477,9.51845561034477
183,9.526414861459756,9.526414861459756,9.526414861459756,9.526414861459756
184,9.534242557354347,9.534242557354347,9.534242557354347,9.534242557354347
185,9.541940872451205,9.541940872451205,9.541940872451205,9.541940872451205
186,9.54951194523285,9.54951194523285,9.54951194523285,9.54951194523285
187,9.55695787883569,9.55695787883569,9.55695787883569,9.55695787883569
188,9.564280741634251,9.564280741634251,9.564280741634251,9.564280741634251
189,9.57148256781574,9.57148256781574,9.57148256781574,9.57148256781574
190,9.57856535794511,9.57856535794511,9.57856535794511,9.57856535794511
191,9.58553107952079,9.58553107952079,9.58553107952079,9.58553107952079
192,9.592381667521229,9.592381667521229,9.592381667521229,9.592381667521229
193,9.599119024942407,9.599119024942407,9.599119024942407,9.599119024942407
194,9.605745023326456,9.605745023326456,9.605745023326456,9.605745023326456
195,9.612261503281552,9.612261503281552,9.612261503281552,9.612261503281552
196,9.618670274993208,9.618670274993208,9.618670274993208,9.618670274993208
197,9.624973118727118,9.624973118727118,9.624973118727118,9.624973118727118
198,9.631171785323685,9.631171785323685,9.631171785323685,9.631171785323685
199,9.637267996684391,9.637267996684391,9.637267996684391,9.637267996684391
200,9.643263446250106,9.643263446250106,9.643263446250106,9.643263446250106
201,9.649159799471505,9.649159799471505,9.649159799471505,9.649159799471505
